,Word,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3,train_test
2397,sold,snld,shld,syld,sald,seld,suld,Train
2398,erbin,trbln,frbyn,wrbfn,erban,arben,irbun,Train
2399,peu,pgk,pnm,psg,pei,piu,pou,Test
2400,pferd,pfsrd,pfyrd,pfrrd,pfard,pfard,pfard,Train
2401,jean,jfnn,jhyn,jkjn,joan,jien,jiin,Train
2402,wogt,wpgt,wxgt,wfgt,wigt,wegt,wugt,Train
2403,staus,stqys,stnss,stfds,stuus,stius,stius,Train
2404,beete,bxyty,bxgtf,byztb,biate,bootu,baote,Train
2405,suns,spns,szns,scns,sons,sans,sons,Train
2406,speer,sphtr,spsyr,spbtr,spiir,spoer,speur,Train
2407,flyer,flypr,flyzr,flyzr,flyar,flyor,flyir,Test
2408,polyp,phlyp,pnlyp,pnlyp,pilyp,pilyp,pilyp,Train
2409,zupft,zypft,zjpft,zzpft,zipft,zepft,zopft,Train
2410,moll,mjll,mdll,mgll,mull,mell,mell,Test
2411,guru,gdrs,gprv,gvry,guri,guro,geri,Train
2412,elite,klbtw,flftc,klptk,alite,ilitu,ileto,Train
2413,pool,pqzl,phwl,pzml,pael,poal,pual,Train
2414,hoefe,hygfp,hsvfz,hgsfr,heafa,hiafu,haofu,Train
2415,facto,ffctl,fdctp,fsctg,focto,fucti,ficto,Train
2416,raums,rntms,rcrms,rgnms,roims,reums,ruoms,Train
2417,ramme,rtmmd,rmmmw,rrmmb,remmu,remme,remmu,Train
2418,eilte,gqlts,pcltw,nkltl,ielti,oilte,eolta,Train
2419,ziele,zkhlb,zqjln,zbtlz,zaulu,zeolu,zaelo,Test
2420,faden,fhdwn,fgdtn,ftdtn,fadon,fudon,fadin,Train
2421,futur,fytbr,fltwr,fmtvr,fiter,fitar,fotur,Test
2422,lenze,lbnzk,lbnzd,lmnzw,linzo,linzu,lonzo,Test
2423,siede,sykdt,sxydx,srydy,suede,sauda,seudu,Test
2424,tuete,tzztf,tpktv,ttqtk,tioto,teite,teita,Train
2425,traut,tryft,trhqt,trdnt,truut,truit,trout,Train
2426,facht,fpcht,fjcht,fdcht,fecht,fecht,fecht,Train
2427,beine,bljnn,bfbnx,bywnv,buuno,buenu,biina,Train
2428,loben,lwbln,lxbrn,ltbsn,lebon,lebun,laban,Test
2429,decks,drcks,dycks,dlcks,dicks,dicks,dicks,Train
2430,darms,dyrms,dvrms,dgrms,dorms,durms,dirms,Train
2431,tones,tcnts,tmncs,thnws,tanos,tunus,tinis,Test
2432,sigma,swgml,sfgmd,sggmf,segmi,sugmi,sigmu,Train
2433,regem,rtgwm,rjgtm,rhgxm,regim,ragem,rugum,Train
2434,betts,bntts,bdtts,bwtts,botts,bitts,butts,Train
2435,rad,rpd,rld,rwd,rod,red,red,Train
2436,woge,wcgg,wkgy,wlgb,wiga,wigi,wogu,Train
2437,perl,pprl,pfrl,pvrl,pirl,pirl,porl,Test
2438,least,lphst,lzxst,lgnst,leist,leost,loust,Train
2439,anwar,qnwcr,jnwqr,wnwgr,inwur,inwar,enwer,Train
2440,docks,dxcks,dpcks,dtcks,dacks,ducks,ducks,Train
2441,bahnt,bmhnt,bghnt,bfhnt,buhnt,bihnt,bohnt,Train
2442,test,tpst,tcst,tcst,stol,keh,uetzt,Train
2443,dass,dmss,dfss,dgss,duss,duss,dess,Train
2444,finte,fbntc,fynth,ftntc,fanto,funte,fintu,Train
2445,backt,bgckt,bbckt,bjckt,buckt,beckt,beckt,Test
2446,worms,wqrms,wqrms,wgrms,wirms,warms,wirms,Train
2447,warte,wwrtj,wdrtv,wzrtc,wurto,wirto,warto,Train
2448,winkt,wpnkt,wznkt,wlnkt,wonkt,wenkt,wonkt,Test
2449,halle,hflld,hgllm,hylld,hollu,hellu,hella,Train
2450,grau,grld,grly,grll,grea,grei,gruo,Train
2451,herta,htrtm,hvrth,hgrtb,hertu,hirta,hertu,Train
2452,werbe,wdrbf,wcrbl,wtrbr,warbi,worba,wirbi,Train
2453,dusel,dtshl,dsstl,dssrl,dusul,dusol,desel,Train
2454,klang,kldng,klmng,klkng,kleng,klong,kleng,Train
2455,skier,skylr,skgjr,skmkr,skaur,skoar,skoar,Test
2456,madig,mqdvg,mfdjg,msdsg,medug,madag,madog,Train
2457,audi,svdy,pmdn,ncdx,uodu,euda,uidu,Train
2458,ulk,hlk,tlk,glk,ilk,alk,elk,Test
2459,walle,wmllw,wbllm,wnlls,wullu,wollo,welli,Train
2460,erz,brz,hrz,jrz,arz,urz,urz,Train
2461,bes,bps,bds,bvs,knex,suut,vulks,Train
2462,hecke,hdckx,hcckg,hjckp,hacka,hecku,hucko,Train
2463,grill,grtll,grbll,grnll,grull,grull,grull,Test
2464,hymne,hymnw,hymnl,hymnd,hymna,hymnu,hymnu,Train
2465,paukt,pxnkt,pchkt,pjvkt,piakt,poukt,poekt,Train
2466,herds,hdrds,hlrds,hxrds,hirds,hurds,hords,Test
2467,kies,kmms,kgms,kygs,koas,kois,kaos,Train
2468,etc,ftc,vtc,btc,utc,atc,atc,Train
2469,gene,gtny,gnnh,gpnt,gano,guni,geni,Train
2470,halte,hhltl,hhltp,hmltf,hulta,hiltu,hilti,Train
2471,watte,wxttg,wnttp,wzttl,wottu,wittu,wetti,Train
2472,band,bvnd,bvnd,bjnd,wiban,pals,votal,Train
2473,rost,rqst,rwst,rpst,rist,rust,rist,Test
2474,ipso,cpsc,fpsc,qpsk,apsa,upse,ipsu,Train
2475,boots,bnlts,bbnts,bjnts,biuts,beuts,biits,Train
2476,makel,mhkkl,mgkxl,mmkbl,mukel,mukil,mokul,Train
2477,rads,rkds,rhds,rgds,ruds,ruds,rods,Train
2478,ort,trt,grt,grt,urt,irt,irt,Test
2479,hin,hdn,hkn,hyn,hon,hun,hun,Train
2480,beben,bhbfn,brbkn,bsbyn,bubon,baban,biban,Test
2481,rolf,rzlf,rtlf,rxlf,rilf,relf,relf,Test
2482,laien,lqgbn,lnpnn,lkvzn,laeun,luoan,leaan,Test
2483,pickt,pcckt,pmckt,pvckt,puckt,puckt,pockt,Test
2484,jung,jvng,jmng,jyng,jing,jong,jeng,Train
2485,renne,rgnng,rqnnb,rxnnn,runno,ranni,ronnu,Train
2486,kamin,kzmwn,knmbn,ksmkn,kemun,komun,kamun,Train
2487,quere,qfqrc,qcyrs,qqsrt,qeoru,qeori,qiuru,Test
2488,kamel,khmbl,kxmwl,kfmll,kimil,kamal,komol,Train
2489,buhle,blhls,bhhlr,bghlq,bihla,bahle,buhla,Train
2490,ammen,tmmmn,tmmmn,zmmyn,ummun,emmen,emmun,Train
2491,apart,qptrt,ppcrt,vpyrt,opurt,uport,epert,Train
2492,grub,grzb,grzb,grdb,paun,iols,knuck,Train
2493,reife,rkqfx,rwrfg,rwtfl,riufe,riofa,roufo,Train
2494,mac,mwc,mwc,mzc,mec,moc,muc,Train
2495,tier,tkzr,tfrr,tbnr,toer,tear,tiir,Train
2496,baus,bzbs,bxws,btzs,beis,bees,beus,Train
2497,lug,lbg,lqg,lsg,kont,ihma,trun,Test
2498,boese,bsgss,bhssc,bvqsw,biuse,buisi,biaso,Train
2499,zudem,zzdcm,zxdgm,zrdqm,zidim,zadem,zudam,Test
2500,laste,lpsth,lfstr,ljstd,listi,losta,losti,Train
2501,warm,wprm,wkrm,wjrm,wirm,werm,worm,Train
2502,elfe,glfp,ylfl,vlfb,ulfa,olfo,alfo,Train
2503,bett,bftt,bytt,bftt,bitt,bott,bitt,Train
2504,setze,sytzz,sytzj,sdtzb,sotzu,satzu,sotze,Train
2505,hauer,hmjhr,hwybr,hyynr,haaer,hueor,hoeir,Train
2506,khmer,khmtr,khmqr,khmyr,khmor,khmir,khmur,Train
2507,wein,wbbn,wlvn,wxfn,wuin,wuon,waon,Train
2508,boeig,bwkmg,bkjjg,bsztg,bieog,booag,baeeg,Train
2509,blieb,blvgb,blmgb,bldjb,bluib,bluob,blueb,Train
2510,lohnt,ljhnt,lqhnt,lbhnt,lihnt,lihnt,lihnt,Train
2511,tadel,tbdzl,trdfl,tnddl,tadul,tudol,tidel,Test
2512,zweck,zwkck,zwzck,zwcck,zwuck,zwack,zwuck,Train
2513,mails,mpgls,mkgls,mmdls,meols,miels,miols,Test
2514,bitte,bwttl,bvttc,bqttl,butte,batta,betto,Test
2515,reibt,rjnbt,rlwbt,rrsbt,roibt,roebt,ruebt,Test
2516,irres,yrrks,vrrys,frrjs,urrus,arros,irras,Train
2517,oscar,dscqr,vsccr,hscjr,oscur,ascer,ascir,Train
2518,saest,swsst,smfst,svvst,seest,seust,saost,Train
2519,klo,klp,kln,kln,kle,kla,kle,Train
2520,ein,wln,fqn,kfn,iun,ean,ien,Train
2521,bosch,bhsch,brsch,bpsch,besch,bisch,basch,Train
2522,smog,smcg,smbg,smcg,smeg,smug,smag,Train
2523,waise,wlnsr,wtrsf,wlksk,wuasa,woosa,woasi,Test
2524,hofft,hgfft,htfft,hpfft,hifft,hufft,hefft,Train
2525,depp,dvpp,dcpp,drpp,dapp,dipp,dipp,Test
2526,parke,pxrkk,pzrkj,ptrkx,perki,pirko,porke,Train
2527,klebe,klrbw,kljbm,klkbd,kloba,klobu,klubu,Train
2528,erste,prstw,xrstz,prstj,irsta,orste,orste,Train
2529,heidi,hzjdq,hxvdh,hzvdr,heade,hoede,heede,Test
2530,sorte,sqrtn,syrtg,sgrtf,sertu,sorti,surti,Train
2531,sirup,srrvp,sprdp,sbrqp,sarop,sorep,sorup,Train
2532,kurie,krrzt,kgrvz,kdryh,kurio,kurua,korue,Train
2533,micks,mmcks,mlcks,mmcks,macks,mucks,mocks,Train
2534,wicht,wpcht,wxcht,wwcht,wocht,wocht,wecht,Train
2535,yoga,ydgg,ycgc,yjgs,yago,yage,yegi,Test
2536,blick,blzck,bltck,bltck,black,bleck,bleck,Train
2537,extra,kxtrf,lxtrr,dxtrq,axtre,extru,uxtri,Train
2538,sauge,sjlgf,srtgc,sfmgy,soogi,soogo,soagu,Test
2539,erle,rrlg,nrly,rrln,erlo,orla,arli,Train
2540,flug,flgg,flkg,flmg,fleg,fleg,fleg,Train
2541,jakob,jyksb,jgkhb,jbknb,jikab,jekib,jokob,Train
2542,klebt,kltbt,klgbt,kldbt,klubt,klibt,klibt,Train
2543,knast,kngst,knpst,knsst,knust,knust,knist,Train
2544,assen,zssjn,bsssn,mssdn,essin,ossen,esson,Train
2545,joerg,jhsrg,jjrrg,jbkrg,jaorg,joirg,jairg,Train
2546,akts,nkts,lkts,xkts,ikts,ukts,ikts,Train
2547,uebt,dqbt,xpbt,lcbt,oobt,oubt,eubt,Test
2548,vorne,vvrnd,vyrnr,vfrnf,virna,vorna,verni,Test
2549,euer,hgnr,hmtr,bqgr,uaar,ieor,iaor,Test
2550,witze,wytzp,wktzw,wptzc,watzi,wutzi,wutza,Test
2551,hanf,hmnf,hmnf,hnnf,hinf,honf,honf,Train
2552,hilft,hylft,htlft,hwlft,holft,hulft,holft,Train
2553,steve,stlvf,sttvq,stkvk,stove,stova,steva,Test
2554,drink,drmnk,drcnk,drknk,drenk,drunk,drunk,Train
2555,hole,hzln,hhlv,hnlt,huli,hilu,holo,Train
2556,irren,qrrbn,yrrcn,wrrsn,arron,errin,orren,Train
2557,fahl,fvhl,fxhl,fzhl,fihl,fihl,fihl,Train
2558,krimi,krvmc,krgmh,krqms,kruma,krome,kromu,Train
2559,mond,mrnd,mwnd,msnd,mind,mand,mind,Train
2560,sie,srj,skb,swh,seo,soi,soa,Train
2561,star,sttr,stwr,stdr,stir,stor,ster,Test
2562,ochse,vchsd,gchsm,bchsb,ichso,ochsu,achsa,Test
2563,bocke,bxckf,blckz,bdckw,backo,backi,bocko,Test
2564,hort,hhrt,hbrt,hwrt,hirt,hirt,hert,Train
2565,sang,sgng,syng,sqng,jidu,ralli,sirbu,Test
2566,iris,rrws,xrgs,yrbs,ires,urus,ures,Train
2567,perle,pbrlp,plrlr,pxrlq,perlu,pirla,parli,Train
2568,elias,ylfhs,plnps,qlhxs,aleus,ilais,alius,Train
2569,zapft,zmpft,zfpft,zjpft,zepft,zopft,zipft,Train
2570,toto,twth,tqtx,tttc,tato,tatu,tatu,Test
2571,wams,wzms,wzms,wlms,wims,woms,wims,Train
2572,nein,ndln,nqhn,nvtn,nean,nien,naen,Test
2573,rate,rltt,rdtb,rjty,rata,rito,rete,Test
2574,multi,mgltk,mmlty,mtltl,milte,molta,maltu,Train
2575,trank,trnnk,trpnk,trgnk,hahur,kock,zavil,Test
2576,enten,xntqn,vntyn,xntqn,entin,inten,inten,Train
2577,baue,blcb,bmxh,bjhf,bueu,bauo,buuo,Train
2578,talon,tbljn,txlgn,tllrn,tulan,talin,telun,Train
2579,rotor,rftmr,rktyr,rrtqr,reter,retor,ritar,Test
2580,lot,lgt,lzt,lyt,lut,let,lut,Train
2581,live,lqvv,lxvj,lyvp,lavi,lave,love,Test
2582,fasle,fjslt,fvslp,ffslk,faslu,fusle,fasla,Train
2583,meist,mdbst,mngst,mzyst,moest,moust,miust,Train
2584,hilfe,hdlfk,hylfq,hdlfr,helfa,hilfu,hilfu,Train
2585,lau,lkz,lsq,lrq,loe,loa,lae,Train
2586,geben,gmbjn,gpbzn,ggbvn,goben,gubon,gabon,Train
2587,bebe,bnbm,bkbs,bybg,boba,bebo,boba,Train
2588,opfer,bpffr,gpfhr,mpfgr,epfir,upfor,opfur,Test
2589,kloss,kltss,klcss,kllss,kless,kluss,kliss,Train
2590,szene,szknr,szgnc,szvnk,szunu,szena,szone,Train
2591,seilt,scglt,scblt,sttlt,seult,siult,sault,Train
2592,seif,svjf,sfyf,sytf,siof,sief,siof,Test
2593,demo,dfmn,dpmk,dtmp,demi,dime,dami,Train
2594,zapf,zkpf,zdpf,zcpf,zepf,zipf,zipf,Train
2595,café,csfé,czfé,csfé,cifé,cufé,cifé,Train
2596,lasse,ljsss,lyssb,lnssy,lisso,lissu,lussi,Train
2597,hoer,hzhr,hhfr,hflr,hiur,haor,hoar,Train
2598,also,klsj,glsy,wlst,alsi,olse,alsi,Train
2599,stehe,stxhm,stghn,stghf,stuha,stohi,stuhi,Train
2600,rauch,rkych,rymch,rsjch,raich,rioch,roich,Test
2601,nahte,ndhtz,nxhtq,nkhts,nihtu,nuhti,nehta,Test
2602,rille,ryllf,rplly,rzllx,rillo,relli,relli,Test
2603,ahle,jhlf,whld,nhlc,uhli,ahli,ehli,Train
2604,fegte,fbgtr,fwgtd,fwgtw,fegti,figto,fogta,Train
2605,seine,skwnh,sncnx,sbvns,suona,suuna,siene,Train
2606,clown,clnwn,clhwn,clkwn,clawn,cluwn,clewn,Test
2607,codex,cxdjx,cwdrx,cmdpx,cidex,cidix,cadex,Train
2608,ekel,mkzl,pkfl,dknl,ikel,ekil,okul,Test
2609,term,tfrm,tvrm,tnrm,tarm,tirm,tirm,Train
2610,idiot,kdrst,hdxjt,ndbvt,idout,adeut,adeet,Train
2611,rangs,rqngs,rnngs,rdngs,rongs,rungs,rongs,Test
2612,karat,kyrrt,kfrrt,kqrkt,kurot,koret,kurot,Test
2613,ninas,npnxs,nrnys,nvnls,nenis,ninus,ninus,Train
2614,wehe,wfhw,wrhp,wlhw,wuhu,wohe,wiha,Train
2615,rand,rjnd,rynd,rfnd,rond,rond,rend,Train
2616,hegst,hngst,hrgst,hygst,higst,hogst,higst,Train
2617,sehr,srhr,syhr,schr,sohr,sihr,sihr,Train
2618,feure,fwtrp,fyfrx,flmrg,fearo,fearo,fauro,Train
2619,haut,hcgt,hfmt,hfjt,heet,heet,huut,Train
2620,buht,bjht,bnht,bfht,biht,beht,baht,Test
2621,kurse,kfrsg,ktrst,kdrsx,korsu,kurso,kerso,Test
2622,ziert,zzgrt,zjvrt,zrcrt,zoert,zaurt,zuort,Test
2623,akt,mkt,ykt,ykt,ekt,ekt,ekt,Train
2624,fusse,ffssb,fvsss,fhssg,fissi,fissu,fassu,Train
2625,pur,pbr,psr,pzr,pir,por,par,Train
2626,alu,wlx,xlh,clm,alo,ili,olo,Train
2627,graz,grfz,grvz,grbz,griz,gruz,grez,Test
2628,plagt,plggt,pljgt,plpgt,plogt,plegt,plogt,Test
2629,tuer,tdsr,tmfr,tpzr,teor,teur,tiur,Train
2630,note,njtf,nctg,ngtv,neta,noti,nita,Test
2631,hexe,hcxg,hkxj,hlxd,haxi,hexu,hoxa,Train
2632,mimen,mmmwn,mgmqn,mdmyn,mamen,mamen,momin,Train
2633,zanke,zrnkp,zcnkc,zpnkn,zanko,zonki,zinki,Train
2634,doch,dwch,dpch,ddch,duch,dech,dech,Train
2635,stark,stqrk,stzrk,stcrk,stirk,sturk,sterk,Test
2636,axel,xxfl,yxfl,bxzl,exel,oxil,exul,Train
2637,drama,drpmx,drkmx,drpmw,drome,drime,droma,Train
2638,cover,cjvgr,cmvsr,cgvpr,civur,cuvor,cavur,Train
2639,teste,tqstv,tdstc,tnstt,testo,testu,tistu,Train
2640,snobs,snqbs,sncbs,snhbs,snubs,snibs,snebs,Train
2641,duenn,dbfnn,dfxnn,dztnn,deann,doenn,deinn,Train
2642,segne,stgnt,sygnk,stgnf,segna,signu,segno,Train
2643,duzen,dqzpn,dyzjn,dnzvn,dazen,dezen,dazin,Test
2644,fouls,fpqls,flrls,fybls,fiols,fials,faels,Train
2645,pinne,pvnnn,pwnnk,pdnnj,pennu,pinna,punna,Train
2646,fallt,fbllt,fdllt,fxllt,fellt,fellt,fullt,Test
2647,aefft,gpfft,flfft,pjfft,uofft,iafft,eefft,Train
2648,zaeh,zgzh,zblh,zpxh,zuah,zeuh,zuah,Train
2649,jeeps,jnzps,jyfps,jcnps,joops,jiips,jueps,Train
2650,syrer,syrcr,syrlr,syrfr,syror,syrar,syrar,Test
2651,knien,knqnn,knfpn,knbqn,knuun,knoin,knuun,Train
2652,gehe,gjhs,gzhg,gphh,gihu,guhe,gohu,Train
2653,viehs,vgwhs,vhshs,vzghs,veohs,vouhs,veihs,Train
2654,beos,bjfs,bcws,bdns,bees,baos,bous,Train
2655,damms,dxmms,dzmms,dxmms,domms,demms,demms,Train
2656,fels,frls,fhls,flls,fils,fuls,fols,Train
2657,singe,ssngw,shngx,smngx,senga,sange,sungo,Train
2658,hanse,hhnsf,hdnsf,hnnsw,hansi,hansu,hansu,Train
2659,regel,rxgpl,rcgnl,rdgcl,rigil,rugul,rogil,Train
2660,mary,myry,mmry,mbry,mery,mory,mory,Train
2661,enger,dngbr,vnghr,dngqr,ongur,ungor,engar,Train
2662,gafft,gvfft,gmfft,gxfft,gufft,gofft,gufft,Train
2663,auto,rdtr,zrtw,sctw,eeti,iito,ueta,Test
2664,hofs,hzfs,hjfs,hqfs,hufs,hafs,hufs,Train
2665,wand,wznd,wlnd,wcnd,mend,stull,lubta,Train
2666,mamas,mtmbs,mxmps,mfmgs,mumus,mumes,mimos,Train
2667,lohne,lmhnf,lghny,ljhnf,lihnu,lihne,luhne,Train
2668,dinge,dsngd,djngs,dqngx,dungi,dangu,dongu,Train
2669,meyer,mjyxr,msymr,mhywr,muyer,miyir,moyir,Train
2670,neon,nkzn,nzmn,nzzn,noan,noin,nain,Train
2671,furie,frrzk,ftrns,fhrvz,ferae,fureo,fareo,Test
2672,lauer,lybwr,lkzrr,lzjqr,liior,laiir,leiar,Train
2673,stils,stqls,stcls,stfls,stals,stuls,stals,Train
2674,korea,ktrgy,ktryl,ktrxb,koruu,koroe,keroi,Train
2675,probe,prrbq,prpbs,prdbm,prebu,probu,prebo,Train
2676,jaffa,jjffl,jgffb,jcffl,juffe,juffo,jeffi,Train
2677,raten,rbtbn,rxtsn,rptxn,ritan,raton,rutin,Train
2678,kreml,krkml,krzml,krbml,kriml,kraml,kriml,Train
2679,hinkt,hynkt,hvnkt,hmnkt,honkt,hankt,hankt,Train
2680,gerda,gtrdh,gqrdd,gprdp,girdo,garda,gardo,Train
2681,wurmt,wjrmt,wrrmt,wmrmt,wermt,wermt,warmt,Train
2682,sieht,stbht,sjhht,sxmht,siuht,soeht,soiht,Train
2683,kipp,khpp,kkpp,kzpp,kopp,kapp,kapp,Train
2684,oedem,wbddm,hmdtm,ghdhm,iedam,iedom,iadem,Test
2685,aula,nplm,zdlt,dmlp,iile,uule,iulo,Train
2686,selig,shlsg,sflpg,szlrg,salag,solug,sulog,Train
2687,seit,szmt,sypt,spwt,seut,seat,sout,Test
2688,pedal,psdwl,pjdfl,pnddl,padel,pidol,pedel,Train
2689,rades,rmdts,rxdjs,rbdks,rodus,ridis,radas,Test
2690,ritzt,rhtzt,rxtzt,rwtzt,rutzt,rutzt,rutzt,Train
2691,saele,sfwlw,svzlm,synlg,seoli,saela,sioli,Train
2692,funke,fynkj,fcnkr,fgnkc,fonke,fenki,fenko,Train
2693,gases,ghsks,gpsys,ghsvs,guses,gosis,gisus,Train
2694,stoff,stjff,stbff,stcff,stuff,stiff,steff,Train
2695,halls,hhlls,hflls,hxlls,holls,holls,hills,Train
2696,blume,bltmd,bldmj,blzmq,blema,blimi,blomi,Train
2697,kilo,kqlg,kclc,khlh,kula,kule,koli,Train
2698,maerz,mhrrz,mkhrz,mfbrz,muerz,maorz,moerz,Train
2699,hasse,hwssf,hyssd,hcssy,hissi,hissa,hussi,Train
2700,turnt,ttrnt,twrnt,tgrnt,tirnt,tirnt,tornt,Train
2701,rauft,rbtft,rktft,rdmft,reoft,raeft,roaft,Train
2702,gute,gdtn,gjtx,gvtr,gotu,gato,gotu,Train
2703,irin,brcn,krrn,qrsn,aren,arun,aron,Train
2704,bohne,bqhnk,bshnx,bphnf,bihni,bohna,buhni,Train
2705,robbt,rwbbt,rlbbt,rsbbt,ribbt,rebbt,ribbt,Train
2706,welt,wplt,wxlt,wplt,wolt,wilt,walt,Train
2707,eros,drrs,mrvs,brzs,urus,aros,oris,Train
2708,fusel,fysjl,fgsnl,fpsbl,fisel,fosel,fasal,Train
2709,kunz,ksnz,khnz,krnz,konz,kanz,kanz,Train
2710,ulm,wlm,nlm,tlm,olm,ilm,olm,Train
2711,liess,lvzss,ldlss,lbjss,laass,looss,luass,Train
2712,fluor,flzyr,flhlr,flgyr,fleor,flour,fleur,Test
2713,miaut,mrwst,mxjzt,mgmwt,muaot,maiat,maeit,Test
2714,rates,rftds,rxtls,rdtbs,rutes,rutis,rites,Train
2715,turne,tprnw,tcrnr,tvrnr,tarne,terno,torno,Test
2716,wonne,wznnq,wlnnd,wxnnf,wanno,wenni,wonnu,Train
2717,order,jrdzr,vrdxr,jrdwr,irdur,ardor,ordir,Test
2718,qual,qjkl,qrrl,qjhl,qeol,qial,quol,Train
2719,nil,ndl,ncl,nwl,nul,nel,nol,Train
2720,seht,skht,swht,sbht,soht,suht,soht,Test
2721,grobe,grqbm,grkbp,grnbp,grebi,grebu,grubo,Train
2722,tagen,tzgfn,tbgwn,tpgzn,tegen,togun,tugen,Train
2723,ihrer,lhryr,jhrhr,dhrwr,ehror,ohrer,uhrir,Train
2724,ungar,yngkr,hnggr,cngxr,angor,engor,unger,Train
2725,baske,bjskr,bfskd,btskm,besku,baski,bosku,Train
2726,ricke,rkcks,rwckv,rgckr,recka,rocko,rocko,Test
2727,gurt,gdrt,gvrt,grrt,gart,gart,gart,Train
2728,ulla,hlly,jllg,vllf,olla,illa,ella,Train
2729,fesch,fbsch,fjsch,fzsch,fosch,fusch,fusch,Train
2730,lehm,lnhm,lchm,lchm,lihm,luhm,lihm,Train
2731,nutzt,nftzt,nwtzt,nqtzt,natzt,notzt,natzt,Train
2732,kripo,krnpf,krypp,krspf,krepa,krapi,kropa,Train
2733,ruhen,ryhsn,rbhcn,rdhwn,ruhon,ruhin,rehan,Train
2734,riffe,rkffg,rpffb,rbffr,reffe,riffi,ruffu,Train
2735,rau,rtr,rmz,rfd,rea,raa,ree,Train
2736,huhn,hdhn,hfhn,hthn,ulki,gitto,enni,Test
2737,kopie,kdpql,knpfg,kspyf,kupou,kupuu,kopou,Train
2738,chile,chpls,chwlr,chqlm,chule,chelu,chelo,Train
2739,leer,lrfr,lmbr,llyr,leor,loir,leor,Train
2740,vorm,vvrm,vvrm,vsrm,vurm,vurm,virm,Train
2741,horn,hdrn,hcrn,hdrn,lagik,manus,irbit,Test
2742,salto,snltv,slltr,sqltq,selti,salte,selto,Test
2743,jan,jpn,jrn,jgn,jen,jin,jin,Train
2744,pius,ppss,pcks,pmps,poos,pees,puas,Train
2745,anzug,nnzjg,jnzhg,vnzcg,inzug,enzog,unzeg,Train
2746,hof,hmf,hdf,hzf,hef,hif,haf,Train
2747,ueben,zhbgn,pmbhn,vmbdn,aabun,oebon,eaban,Train
2748,route,rdftb,rgmty,rlyty,roitu,raita,riiti,Train
2749,ruhe,rrhj,rjhg,rkht,rohi,raha,roha,Train
2750,ruege,rkcgf,rwbgn,rqngb,reogi,ruoga,reugu,Train
2751,busse,bqssd,bzssz,bhssw,besso,basse,bissi,Test
2752,lamms,lvmms,lgmms,lkmms,limms,lemms,lumms,Train
2753,yahoo,ydhqh,ybhwr,ykhdp,yohia,yahai,yihea,Train
2754,laute,lsytj,lwzts,lfwtk,luutu,laite,luoto,Train
2755,borte,bzrtw,bnrts,bfrtn,birta,borto,burti,Train
2756,seim,svxm,swmm,stjm,seam,soim,seom,Train
2757,biss,bvss,bmss,bdss,buss,bess,bess,Train
2758,show,shbw,shsw,shjw,shaw,shiw,shaw,Train
2759,hase,hxsr,hysf,hysm,hese,husi,hasi,Train
2760,zahn,zchn,zyhn,zshn,zuhn,zuhn,zohn,Test
2761,paket,pwkct,pbkbt,pmkzt,pekat,poket,pikit,Train
2762,fonds,fvnds,fpnds,ffnds,funds,funds,finds,Train
2763,gurus,gtrrs,grrfs,gtrzs,guras,geras,garis,Train
2764,zank,zsnk,zwnk,zynk,zenk,zunk,zunk,Test
2765,zahme,zphmv,zthmh,znhmq,zuhme,zehma,zohma,Train
2766,bark,bnrk,bxrk,brrk,birk,bork,bork,Train
2767,dem,dgm,dnm,dym,dum,dum,dam,Train
2768,mitte,mctth,mlttj,mwttb,metta,muttu,muttu,Train
2769,hellt,hbllt,hmllt,hqllt,hillt,hullt,hollt,Train
2770,celle,cnllj,cflly,clllw,cilla,cilli,colli,Train
2771,first,fvrst,fxrst,ftrst,furst,furst,farst,Train
2772,box,btx,btx,bxx,bax,bex,bux,Train
2773,atmen,vtmgn,ftmqn,ytmzn,itmin,utmun,utmin,Test
2774,wollt,wjllt,wsllt,wqllt,willt,willt,wullt,Train
2775,ahmst,jhmst,xhmst,yhmst,ehmst,ehmst,ehmst,Test
2776,lupe,llpv,ldps,lbpn,lipa,lopo,lopi,Train
2777,garbo,glrbx,gbrbx,glrbp,gurbi,gerba,gurba,Train
2778,plots,plnts,plgts,plhts,plets,plets,plats,Test
2779,melde,msldt,mzldk,mtldj,moldi,muldu,moldu,Train
2780,fest,fdst,fxst,fwst,fist,fist,fost,Test
2781,besen,bqsxn,blsxn,bssxn,boson,bosun,busin,Train
2782,maske,mxskx,msskh,mmskr,miska,meske,mosko,Train
2783,seher,sghmr,sfhxr,swhsr,sihur,suhir,sohur,Train
2784,niste,nrstf,nfstc,nqstt,nusti,nosta,nesti,Test
2785,eile,pylv,hzlg,jdlt,aola,oilo,uula,Train
2786,leica,lmgcb,lwkcc,ltncb,loocu,leeco,liaco,Train
2787,exils,cxsls,bxpls,hxzls,oxuls,ixels,ixals,Train
2788,abel,jbtl,wbml,pbtl,ubal,obil,ubil,Train
2789,nimm,nhmm,nfmm,ncmm,nemm,nemm,nomm,Train
2790,donau,dvnmt,dznvs,dbnql,danaa,denuo,denie,Train
2791,hohle,hhhlx,hqhlf,hfhly,hahlo,hohlu,huhli,Train
2792,weist,wwjst,wdvst,wzsst,waest,wuost,wiast,Test
2793,axt,gxt,mxt,cxt,oxt,ext,uxt,Train
