;String;cond;t_t;
5935;jcttc;CS;Train;88
5936;Jphwl;CS;Test;4
5937;cnfym;CS;Test;11
5938;Jndvs;CS;Test;1
5939;Lgmln;CS;Train;34
5940;Gdkls;CS;Train;73
5941;Hqths;CS;Train;42
5942;hmrtl;CS;Train;59
5943;hkrch;CS;Train;37
5944;hmpsb;CS;Train;41
5945;Hwckt;CS;Test;19
5946;hzzrr;CS;Train;59
5947;Hdmmt;CS;Train;64
5948;Hmxzt;CS;Train;80
5949;Hymnz;CS;Train;87
5950;hcftw;CS;Train;42
5951;Hkrrt;CS;Train;77
5952;hzkkn;CS;Train;57
5953;Ggngs;CS;Train;39
5954;Gltph;CS;Train;60
5955;grftf;CS;Train;27
5956;gyrbt;CS;Train;52
5957;Ggnhs;CS;Train;97
5958;Gcldl;CS;Test;13
5959;gnbst;CS;Test;0
5960;gqrnl;CS;Test;1
5961;Gprmr;CS;Train;63
5962;Grgwn;CS;Train;72
5963;Flgzr;CS;Test;9
5964;Flshs;CS;Train;36
5965;Fjsrd;CS;Train;63
5966;Flpsp;CS;Train;80
5967;fwdyl;CS;Train;99
5968;fqxtj;CS;Train;44
5969;Fzmjs;CS;Train;30
5970;fwhlf;CS;Train;56
5971;fpdhs;CS;Train;93
5972;drwpg;CS;Train;85
5973;jrdmg;CS;Train;94
5974;xntrg;CS;Train;97
5975;Clchs;CS;Test;18
5976;Vhrst;CS;Train;59
5977;Ygrln;CS;Train;40
5978;Dqdyn;CS;Test;15
5979;dhckp;CS;Test;1
5980;dxtlv;CS;Test;0
5981;Drqss;CS;Train;98
5982;Dlrft;CS;Train;37
5983;Dlvbs;CS;Train;92
5984;Ddpps;CS;Test;12
5985;Dqnks;CS;Train;30
5986;Dskkr;CS;Train;82
5987;Crêpr;CS;Train;58
5988;Cnhps;CS;Train;64
5989;Cxdjz;CS;Train;65
5990;Bpttn;CS;Train;77
5991;bnhtf;CS;Train;21
5992;brpwq;CS;Train;21
5993;Brdtr;CS;Train;41
5994;bhvtn;CS;Train;68
5995;bxckt;CS;Train;72
5996;bhrts;CS;Train;79
5997;Byrts;CS;Train;80
5998;Bcnxl;CS;Train;65
5999;Bdllc;CS;Train;78
6000;Bxdgt;CS;Train;74
6001;Hqrxl;CS;Train;62
6002;zrtzt;CS;Train;78
6003;Nstgs;CS;Train;87
6004;Dssxn;CS;Train;53
6005;Msynt;CS;Train;51
6006;Pntnk;CS;Train;31
6007;Ynbwc;CS;Train;56
6008;mfffg;CS;Train;38
6009;Pdtlt;CS;Test;2
6010;Rdmln;CS;Train;37
6011;Wcryl;CS;Test;14
6012;Xwljn;CS;Train;36
6013;nvlfn;CS;Train;84
6014;Zqtqn;CS;Train;28
6015;Zplls;CS;Train;88
6016;Zxllb;CS;Train;78
6017;Zggst;CS;Train;30
6018;Zyfyn;CS;Train;91
6019;Znbpl;CS;Train;78
6020;Zkrpt;CS;Train;23
6021;zwrpt;CS;Train;32
6022;Zfnns;CS;Train;86
6023;Zkkmn;CS;Train;74
6024;Ztzgt;CS;Train;41
6025;Zbhnt;CS;Train;41
6026;Zzpft;CS;Train;36
6027;wmctk;CS;Train;40
6028;Wbsxl;CS;Train;88
6029;Wxrts;CS;Train;25
6030;Wtppt;CS;Test;13
6031;wzppt;CS;Train;80
6032;wqcst;CS;Train;46
6033;Wxrts;CS;Train;53
6034;Wtrbt;CS;Train;63
6035;Wqlkj;CS;Train;26
6036;wbxdb;CS;Train;75
6037;Wghtw;CS;Train;93
6038;wpdlh;CS;Train;28
6039;whbtv;CS;Train;73
6040;Wbtqn;CS;Train;22
6041;wzltq;CS;Test;14
6042;wtllt;CS;Train;34
6043;Wpllc;CS;Test;16
6044;wnllm;CS;Train;44
6045;Vrrbb;CS;Train;55
6046;Vjtjs;CS;Train;71
6047;Vnrbs;CS;Test;3
6048;Vbmps;CS;Train;57
6049;grbfn;CS;Train;54
6050;Lnrvh;CS;Train;93
6051;Smggb;CS;Train;39
6052;Tlmdn;CS;Train;70
6053;Clkfg;CS;Train;59
6054;Tkrnt;CS;Train;89
6055;twrnc;CS;Train;32
6056;tqnkq;CS;Train;35
6057;Tnchs;CS;Test;4
6058;Trcmb;CS;Train;44
6059;Trqls;CS;Train;66
6060;Trpbt;CS;Train;57
6061;Trhbw;CS;Train;80
6062;Tytrs;CS;Train;95
6063;tdsty;CS;Train;37
6064;Tjnts;CS;Train;42
6065;tmgnc;CS;Train;92
6066;Tsgts;CS;Train;32
6067;tblgd;CS;Train;47
6068;Tykgs;CS;Train;29
6069;Ttckt;CS;Train;58
6070;Thqrs;CS;Train;26
6071;Tgrmz;CS;Train;96
6072;Tmdtr;CS;Train;84
6073;Tqlft;CS;Test;19
6074;Tjtzs;CS;Train;36
6075;Tpnkt;CS;Train;43
6076;Syrrr;CS;Test;20
6077;Stfyb;CS;Train;76
6078;strjd;CS;Train;59
6079;Stjch;CS;Train;37
6080;spnyh;CS;Test;12
6081;Srnnt;CS;Test;17
6082;Sjgdn;CS;Train;41
6083;Smlgs;CS;Train;70
6084;Slhwz;CS;Test;16
6085;sknnt;CS;Test;0
6086;Skqgs;CS;Train;22
6087;Stfbt;CS;Test;8
6088;sdngt;CS;Test;3
6089;Schyr;CS;Train;63
6090;Schjb;CS;Train;74
6091;smrsp;CS;Train;28
6092;Sfbft;CS;Train;22
6093;Shxgn;CS;Train;76
6094;ssbtl;CS;Train;75
6095;sydst;CS;Train;41
6096;Sjsst;CS;Train;66
6097;srlzv;CS;Train;93
6098;sylbt;CS;Test;12
6099;Svcht;CS;Train;83
6100;Sfzls;CS;Train;69
6101;rqpfn;CS;Test;19
6102;Rrhst;CS;Train;77
6103;rmtzw;CS;Train;70
6104;rfstx;CS;Train;32
6105;Rslfs;CS;Train;92
6106;rmbbt;CS;Train;33
6107;rbjft;CS;Train;86
6108;rfzbj;CS;Train;34
6109;Rhfns;CS;Train;94
6110;Rjmbs;CS;Train;93
6111;rgszb;CS;Train;37
6112;rfnmv;CS;Train;96
6113;Rnght;CS;Train;84
6114;Rpgxm;CS;Train;88
6115;Rvckt;CS;Train;48
6116;rdckt;CS;Train;69
6117;Rfchg;CS;Train;94
6118;rbzst;CS;Train;48
6119;rshft;CS;Test;19
6120;Rrlns;CS;Test;11
6121;rgkhm;CS;Train;71
6122;Rjbbq;CS;Train;61
6123;rdrds;CS;Train;51
6124;Rcnky;CS;Train;55
6125;rsnkf;CS;Train;61
6126;Rzffw;CS;Train;82
6127;rdffw;CS;Train;31
6128;Rvdgn;CS;Train;79
6129;Prkll;CS;Train;67
6130;Pmtzs;CS;Train;43
6131;Pdcht;CS;Train;86
6132;Pgnnt;CS;Train;71
6133;Plqpv;CS;Train;22
6134;Pyckt;CS;Test;11
6135;Pwckt;CS;Train;24
6136;Pfqhl;CS;Train;38
6137;Pfjvs;CS;Train;50
6138;Pfnlz;CS;Train;40
6139;Pflds;CS;Train;29
6140;Prbld;CS;Test;13
6141;pbtzt;CS;Test;8
6142;Psssé;CS;Train;94
6143;pmffv;CS;Train;98
6144;Pxyrs;CS;Train;24
6145;Wxhdr;CS;Train;72
6146;Wrtrt;CS;Train;27
6147;bpfrn;CS;Train;72
6148;Hllng;CS;Train;25
6149;Qhrzs;CS;Train;72
6150;Xmdws;CS;Train;84
6151;Nttqn;CS;Train;97
6152;Nbvdm;CS;Train;91
6153;Nxstx;CS;Train;46
6154;Nxppt;CS;Train;23
6155;ngkdn;CS;Train;90
6156;Nmckt;CS;Train;94
6157;Njbst;CS;Train;62
6158;Nzssx;CS;Train;24
6159;Nqbht;CS;Train;31
6160;Nwhmt;CS;Test;16
6161;ndgst;CS;Train;64
6162;Mhtjn;CS;Train;44
6163;mltyn;CS;Train;48
6164;mbtzz;CS;Train;29
6165;Mlqré;CS;Train;97
6166;Mchns;CS;Test;8
6167;Mfglf;CS;Test;11
6168;mpxtr;CS;Train;67
6169;Mystg;CS;Train;35
6170;Mchrv;CS;Train;86
6171;Mvzdr;CS;Train;51
6172;mdllt;CS;Train;68
6173;Mdsst;CS;Test;4
6174;Mplvy;CS;Train;23
6175;Mnltb;CS;Train;47
6176;Mlkrj;CS;Train;74
6177;Mqhlt;CS;Train;67
6178;mghlp;CS;Train;70
6179;Lpdkn;CS;Test;19
6180;lptst;CS;Train;37
6181;Lztrs;CS;Test;14
6182;Ldtqn;CS;Test;19
6183;lzscm;CS;Train;99
6184;Llzrt;CS;Train;52
6185;Ljggt;CS;Train;99
6186;Lwggx;CS;Train;35
6187;Llndq;CS;Train;37
6188;lrftj;CS;Train;63
6189;lrtft;CS;Train;80
6190;Lsnzf;CS;Train;74
6191;Lyndq;CS;Train;67
6192;lxlsk;CS;Train;34
6193;lpxkn;CS;Train;22
6194;Lbmst;CS;Train;56
6195;lgnms;CS;Train;87
6196;Lwcpn;CS;Test;2
6197;Lsdbb;CS;Train;76
6198;Lwckz;CS;Train;68
6199;lzbtk;CS;Train;90
6200;krrvt;CS;Train;63
6201;Kbtrt;CS;Train;60
6202;kqrrn;CS;Test;10
6203;Ktlts;CS;Train;62
6204;Kwdhn;CS;Train;70
6205;Krpmz;CS;Train;88
6206;Krymj;CS;Train;24
6207;Knmpf;CS;Test;3
6208;Knnrr;CS;Train;52
6209;knqps;CS;Train;88
6210;kncff;CS;Test;6
6211;kncth;CS;Train;89
6212;Knljf;CS;Test;12
6213;Klgyn;CS;Train;96
6214;Klmkt;CS;Train;81
6215;Kjllt;CS;Train;25
6216;Kdjch;CS;Train;71
6217;Kwckg;CS;Test;14
6218;Kmnfs;CS;Train;72
6219;Kxrxr;CS;Test;1
6220;Klrls;CS;Train;53
6221;Klmms;CS;Train;62
6222;Kphns;CS;Train;25
6223;Kyhlz;CS;Test;17
6224;Kvdls;CS;Test;3
6225;Jmrys;CS;Train;71
6226;jcckw;CS;Train;68
6227;jgbln;CS;Train;79
6228;Jnllc;CS;Train;27
6229;jtbbt;CS;Train;62
6230;Jthlt;CS;Train;56
6231;jwyty;CS;Train;58
6232;Jjltw;CS;Train;62
6233;Hrrst;CS;Train;90
6234;crrnm;CS;Test;4
6235;Vynbn;CS;Train;57
6236;Wntwm;CS;Test;11
6237;Wnffm;CS;Train;60
6238;Xndds;CS;Test;11
6239;Ccjns;CS;Train;23
6240;hyptg;CS;Train;33
6241;Hjpst;CS;Train;72
6242;hvpst;CS;Train;96
6243;Hqnds;CS;Train;85
6244;Hyssc;CS;Train;96
6245;Hgnkt;CS;Train;93
6246;hxbvp;CS;Train;28
6247;Hrqrq;CS;Train;77
6248;Hlzcr;CS;Train;31
6249;Hhssy;CS;Train;55
6250;Hnhzr;CS;Train;79
6251;Hggtx;CS;Train;55
6252;Hpgfn;CS;Train;79
6253;Hjgml;CS;Train;99
6254;Hhckt;CS;Train;71
6255;Hzbsr;CS;Train;49
6256;Hfydn;CS;Train;58
6257;hvdch;CS;Train;30
6258;hnrkl;CS;Train;91
6259;Hlnsq;CS;Train;27
6260;Htmyd;CS;Test;7
6261;hbllp;CS;Train;25
6262;hklft;CS;Train;62
6263;hbktt;CS;Test;7
6264;hfkst;CS;Train;87
6265;Ghstt;CS;Test;11
6266;Grckj;CS;Train;22
6267;Grgll;CS;Train;89
6268;Grpst;CS;Test;8
6269;Gjyms;CS;Train;95
6270;Ghtcn;CS;Train;86
6271;Gfrkx;CS;Train;80
6272;Gmlfs;CS;Train;78
6273;grjrj;CS;Test;15
6274;gyrbj;CS;Train;72
6275;Gjllt;CS;Test;14
6276;gwllt;CS;Train;70
6277;Gdrhn;CS;Train;90
6278;Gdrbv;CS;Train;30
6279;Fstkr;CS;Train;63
6280;Ftrmm;CS;Train;86
6281;Fdxtn;CS;Train;45
6282;Fksts;CS;Train;33
6283;Fsrmb;CS;Test;11
6284;Fxsnl;CS;Test;18
6285;Fhdlt;CS;Test;13
6286;Fztxl;CS;Train;50
6287;fhslh;CS;Test;17
6288;Fzngs;CS;Train;98
6289;flcht;CS;Train;70
6290;Mxsls;CS;Train;27
6291;Nthys;CS;Train;71
6292;Jschw;CS;Train;33
6293;Srlln;CS;Test;4
6294;Rrhrb;CS;Test;5
6295;srbpt;CS;Train;33
6296;Qrbzt;CS;Train;51
6297;brbdt;CS;Train;35
6298;sngtb;CS;Train;39
6299;Qngdn;CS;Train;59
6300;Gkzjm;CS;Test;0
6301;Hktln;CS;Train;65
6302;Mgncg;CS;Train;94
6303;Szlgn;CS;Test;3
6304;vbcht;CS;Train;64
6305;Dlsfl;CS;Train;32
6306;Dmckf;CS;Train;98
6307;drxll;CS;Train;26
6308;Dhrrt;CS;Test;10
6309;Dbvjs;CS;Train;26
6310;Dlfdt;CS;Train;100
6311;dlmmp;CS;Train;79
6312;Dvhnm;CS;Train;47
6313;dvhnt;CS;Train;55
6314;Dprms;CS;Train;28
6315;Chcrs;CS;Train;45
6316;chwcl;CS;Train;67
6317;Chbts;CS;Test;18
6318;Cdllj;CS;Train;75
6319;Cmchx;CS;Train;52
6320;byhlb;CS;Train;23
6321;Brzzt;CS;Train;44
6322;Brhnt;CS;Train;81
6323;Bbtsn;CS;Train;35
6324;Bkrtj;CS;Test;2
6325;bbqtd;CS;Train;60
6326;Bthrt;CS;Test;4
6327;Brrdn;CS;Train;98
6328;Bkckv;CS;Train;96
6329;bldst;CS;Train;31
6330;Bjlds;CS;Test;4
6331;Bctzl;CS;Test;12
6332;bslld;CS;Train;69
6333;Bsltg;CS;Train;84
6334;Bsnls;CS;Train;47
6335;bbhpb;CS;Test;12
6336;Bcftp;CS;Train;42
6337;bvtst;CS;Train;73
6338;Bttvk;CS;Train;33
6339;bqtbt;CS;Test;13
6340;Bktwn;CS;Train;39
6341;Bhskr;CS;Train;84
6342;bhrst;CS;Train;62
6343;blrxr;CS;Train;92
6344;bfnnt;CS;Test;18
6345;Bpngt;CS;Train;95
6346;bpllt;CS;Train;65
6347;bphnv;CS;Train;46
6348;Byckt;CS;Train;88
6349;Cssdn;CS;Train;72
6350;Xrrky;CS;Train;86
6351;Brndt;CS;Train;96
6352;fnhbb;CS;Train;67
6353;Jnglh;CS;Train;22
6354;vnbcr;CS;Train;44
6355;Jphrw;CS;Train;63
6356;Phntw;CS;Train;26
6357;Ghmtd;CS;Train;35
6358;Qyfft;CS;Train;78
6359;Tdlbs;CS;Train;88
6360;ddwlt;CS;Train;65
6361;Fchrm;CS;Train;36
6362;nbtst;CS;Train;90
6363;Dbszd;CS;Test;4
6364;lbsnh;CS;Train;61
6365;mbbcg;CS;Test;13
0;Ich;Word;Train;21
1;ist;Word;Train;59
2;ich;Word;Test;5
3;Sie;Word;Train;100
4;das;Word;Train;96
5;die;Word;Train;71
6;und;Word;Train;65
7;der;Word;Train;24
8;sie;Word;Train;61
9;Das;Word;Train;86
10;ein;Word;Train;38
11;wir;Word;Train;49
12;mir;Word;Train;66
13;mit;Word;Test;6
14;Was;Word;Train;97
15;den;Word;Train;22
16;was;Word;Train;40
17;auf;Word;Train;78
18;hat;Word;Train;70
19;Wir;Word;Train;34
20;Und;Word;Train;41
21;von;Word;Train;51
22;war;Word;Train;32
23;bin;Word;Train;28
24;wie;Word;Train;70
25;dir;Word;Train;72
26;uns;Word;Train;76
27;Die;Word;Train;34
28;nur;Word;Train;95
29;dem;Word;Test;4
30;ihn;Word;Train;40
31;ihr;Word;Train;64
32;aus;Word;Train;63
33;Wie;Word;Train;42
34;als;Word;Train;100
35;mal;Word;Test;13
36;gut;Word;Test;9
37;Der;Word;Test;16
38;man;Word;Test;15
39;bei;Word;Train;29
40;hab;Word;Train;38
41;vor;Word;Train;45
42;ihm;Word;Train;97
43;tun;Word;Train;81
44;zum;Word;Test;14
45;Ist;Word;Train;81
46;Ein;Word;Test;4
47;des;Word;Train;89
48;nie;Word;Train;43
49;los;Word;Train;56
50;Ihr;Word;Train;92
51;Wer;Word;Train;22
52;zur;Word;Train;45
53;Gut;Word;Train;74
54;tut;Word;Train;53
55;bis;Word;Train;32
56;weg;Word;Train;93
57;Nun;Word;Train;96
58;Tag;Word;Train;49
59;Sir;Word;Train;27
60;her;Word;Train;23
61;Los;Word;Train;59
62;Weg;Word;Train;90
63;Nur;Word;Train;66
64;Mal;Word;Train;28
65;Ach;Word;Train;28
66;gar;Word;Train;87
67;Auf;Word;Train;27
68;ins;Word;Train;35
69;hin;Word;Train;41
70;vom;Word;Train;47
71;wer;Word;Train;33
72;Man;Word;Train;40
73;Als;Word;Train;42
74;Tut;Word;Train;55
75;Mit;Word;Test;0
76;tot;Word;Train;37
77;Sag;Word;Test;14
78;nun;Word;Train;41
79;mag;Word;Train;32
80;sei;Word;Train;87
81;Geh;Word;Train;44
82;kam;Word;Train;34
83;Mir;Word;Train;70
84;Hat;Word;Test;9
85;gab;Word;Test;1
86;Dir;Word;Train;60
87;Von;Word;Train;28
88;Uhr;Word;Train;36
89;Art;Word;Train;29
90;Gib;Word;Train;63
91;Den;Word;Train;91
92;Job;Word;Train;69
93;Bis;Word;Test;5
94;all;Word;Train;38
95;Bei;Word;Train;39
96;sah;Word;Train;32
97;geh;Word;Train;95
98;Tod;Word;Train;63
99;Ort;Word;Test;19
100;War;Word;Train;47
101;sag;Word;Train;33
102;Sei;Word;Train;22
103;Hab;Word;Train;93
104;oft;Word;Test;15
105;alt;Word;Train;74
106;Vor;Word;Train;38
107;Bin;Word;Train;64
108;Aus;Word;Train;59
109;New;Word;Train;24
110;Zum;Word;Train;41
111;weh;Word;Train;43
112;tue;Word;Train;44
113;Sam;Word;Test;17
114;wem;Word;Train;41
115;Sex;Word;Train;40
116;wen;Word;Test;3
117;tat;Word;Train;55
118;neu;Word;Test;5
119;Ruf;Word;Test;3
120;Bob;Word;Test;2
121;gib;Word;Train;26
122;Wen;Word;Test;1
123;Zug;Word;Test;17
124;Arm;Word;Test;17
125;Ben;Word;Train;56
126;hol;Word;Train;60
127;ans;Word;Train;35
128;Hol;Word;Train;79
129;ran;Word;Train;77
130;Tee;Word;Train;57
131;ruf;Word;Test;5
132;Tun;Word;Train;65
133;All;Word;Test;7
134;Rat;Word;Train;32
135;Jim;Word;Test;16
136;Bus;Word;Train;44
137;nah;Word;Test;2
138;lag;Word;Train;51
139;Tor;Word;Train;94
140;Ehe;Word;Train;100
141;Tat;Word;Train;93
142;Joy;Word;Test;6
143;pro;Word;Test;6
144;Leg;Word;Train;59
145;Uns;Word;Train;90
146;Mut;Word;Train;68
147;Bar;Word;Train;58
148;Dem;Word;Train;39
149;Eis;Word;Train;36
150;Van;Word;Train;67
151;Hut;Word;Train;93
152;Zur;Word;Train;37
153;Gar;Word;Train;33
154;Nie;Word;Train;37
155;Don;Word;Test;15
156;Max;Word;Test;16
157;Hau;Word;Train;87
158;Bad;Word;Train;30
159;San;Word;Train;39
160;See;Word;Test;14
161;Opa;Word;Train;86
162;Oma;Word;Test;17
163;Ihn;Word;Train;78
164;bat;Word;Test;12
165;geb;Word;Train;42
166;Vom;Word;Train;68
167;Gas;Word;Train;21
168;Ohr;Word;Train;24
169;Ton;Word;Train;72
170;Rom;Word;Test;20
171;ums;Word;Train;57
172;Klo;Word;Test;1
173;ehe;Word;Train;83
174;Kuh;Word;Test;16
175;leg;Word;Train;97
176;Set;Word;Train;28
177;Wem;Word;Test;12
178;Tim;Word;Train;32
179;zog;Word;Train;74
180;hau;Word;Train;27
181;Wut;Word;Train;34
182;rot;Word;Train;98
183;Tot;Word;Train;66
184;Hof;Word;Train;57
185;Ihm;Word;Train;93
186;Rot;Word;Train;80
187;eng;Word;Train;77
188;Mac;Word;Train;74
189;Fan;Word;Train;66
190;per;Word;Train;94
191;Jan;Word;Test;9
192;Uni;Word;Test;8
193;Iss;Word;Train;73
194;Yen;Word;Train;31
195;Sun;Word;Train;81
196;Her;Word;Train;42
197;las;Word;Train;37
198;Gag;Word;Train;64
199;Eva;Word;Train;97
200;Mio;Word;Train;60
201;Ins;Word;Train;61
202;Mai;Word;Train;99
203;Las;Word;Train;51
204;Akt;Word;Test;1
205;Bau;Word;Train;92
206;arm;Word;Test;8
207;Tal;Word;Train;71
208;Amt;Word;Train;43
209;Rad;Word;Train;38
210;Des;Word;Test;9
211;Boy;Word;Test;18
212;Reg;Word;Train;48
213;Tue;Word;Test;5
214;Gab;Word;Train;84
215;elf;Word;Train;91
216;Mag;Word;Train;60
217;iss;Word;Train;27
218;Sau;Word;Train;95
219;Not;Word;Test;2
220;bar;Word;Train;66
221;Box;Word;Train;29
222;Zoo;Word;Train;64
223;dar;Word;Train;59
224;Oft;Word;Test;1
225;Kam;Word;Train;40
226;Eid;Word;Test;13
227;fit;Word;Train;28
228;Hai;Word;Test;0
229;Ego;Word;Train;37
230;ass;Word;Train;31
231;Oel;Word;Train;79
232;Jet;Word;Train;61
233;Axt;Word;Train;36
234;Neu;Word;Test;0
235;Zeh;Word;Test;16
236;Sah;Word;Train;30
237;Rum;Word;Train;93
238;Top;Word;Train;83
239;Pop;Word;Test;17
240;bot;Word;Train;90
241;Ami;Word;Train;36
242;Min;Word;Train;32
243;Liz;Word;Train;98
244;Wal;Word;Train;63
245;Hin;Word;Train;42
246;ach;Word;Train;49
247;Fee;Word;Train;84
248;Eli;Word;Train;52
249;Ass;Word;Train;25
250;Hit;Word;Test;16
251;Rio;Word;Test;15
252;van;Word;Train;45
253;Mao;Word;Train;21
254;Kit;Word;Train;81
255;Lob;Word;Train;78
256;Ast;Word;Train;99
257;reg;Word;Train;76
258;Pan;Word;Train;87
259;hob;Word;Train;59
260;Nah;Word;Test;19
261;Chi;Word;Test;7
262;Alt;Word;Train;38
263;Lau;Word;Train;37
264;Fax;Word;Test;9
265;Bug;Word;Train;99
266;usw;Word;Train;39
267;lud;Word;Train;41
268;Dia;Word;Train;94
269;Dom;Word;Train;54
270;Pub;Word;Train;75
271;Elf;Word;Train;63
272;Ire;Word;Train;41
273;Pro;Word;Test;3
274;Ost;Word;Train;22
275;gen;Word;Train;52
276;Ran;Word;Train;89
277;Ski;Word;Train;63
278;Reh;Word;Train;93
279;Heu;Word;Test;8
280;log;Word;Train;24
281;rau;Word;Train;71
282;Bon;Word;Train;55
283;Bea;Word;Train;46
284;Tau;Word;Train;40
285;Sek;Word;Train;65
286;Kur;Word;Train;38
287;roh;Word;Train;56
288;Lot;Word;Train;57
289;Gen;Word;Train;42
290;Mob;Word;Test;20
291;min;Word;Train;86
292;pur;Word;Test;10
293;Kot;Word;Train;29
294;Uwe;Word;Train;95
295;Per;Word;Train;66
296;Abt;Word;Test;9
297;Ren;Word;Train;46
298;Geb;Word;Test;6
299;Oho;Word;Test;19
300;fix;Word;Train;62
301;Duo;Word;Train;40
302;etc;Word;Train;85
303;Ada;Word;Train;33
304;Weh;Word;Train;62
305;Bat;Word;Train;84
306;wog;Word;Test;4
307;rar;Word;Train;47
308;Ans;Word;Train;36
309;Via;Word;Train;31
310;Mix;Word;Test;10
311;Pik;Word;Train;99
312;Kai;Word;Train;87
313;Alf;Word;Test;16
314;via;Word;Train;26
315;Udo;Word;Train;95
316;Nil;Word;Test;8
317;arg;Word;Test;7
318;Zar;Word;Test;8
319;Run;Word;Train;84
320;Abi;Word;Test;15
321;Web;Word;Train;70
322;Dez;Word;Train;68
323;Aas;Word;Train;46
324;Aal;Word;Train;36
325;Lok;Word;Test;10
326;Kau;Word;Train;32
327;Jod;Word;Train;29
328;Dar;Word;Train;36
329;Ade;Word;Train;68
330;Sao;Word;Test;20
331;Sog;Word;Test;8
332;Lag;Word;Train;22
333;Log;Word;Test;20
334;Eng;Word;Test;19
335;Pol;Word;Test;20
336;Ode;Word;Train;49
337;Abs;Word;Test;6
338;Zog;Word;Train;91
339;Ums;Word;Train;70
340;Eck;Word;Train;47
341;Kap;Word;Train;76
342;Jux;Word;Train;62
343;Gel;Word;Train;68
344;Erz;Word;Train;43
345;Ute;Word;Train;44
346;Sri;Word;Test;6
347;Bub;Word;Test;0
348;Ulm;Word;Train;67
349;Bit;Word;Train;95
350;Aug;Word;Test;11
351;ade;Word;Train;43
352;sog;Word;Train;51
353;Roh;Word;Train;33
354;Phi;Word;Train;69
355;Fix;Word;Train;93
356;bog;Word;Train;57
357;peu;Word;Test;19
358;kau;Word;Train;57
359;Hub;Word;Train;38
360;cum;Word;Train;89
361;Mus;Word;Train;71
362;Lud;Word;Train;34
363;Boa;Word;Train;55
364;Aue;Word;Train;80
365;Arg;Word;Train;76
366;Abo;Word;Train;96
367;Pur;Word;Train;38
368;lau;Word;Train;70
369;irr;Word;Train;58
370;Fit;Word;Train;54
371;Dur;Word;Train;37
372;Pin;Word;Test;3
373;Ohm;Word;Train;31
374;Huf;Word;Test;3
375;Alm;Word;Train;27
376;Tel;Word;Train;78
377;Sud;Word;Train;66
378;Put;Word;Train;67
379;Hob;Word;Train;97
380;hie;Word;Train;59
381;Dow;Word;Train;73
382;Alu;Word;Train;28
383;Ulk;Word;Test;15
384;Uhu;Word;Train;36
385;Mol;Word;Train;34
386;Hie;Word;Train;89
387;Fug;Word;Test;12
388;Bot;Word;Train;88
389;Anm;Word;Train;37
390;Spe;Word;Test;18
391;oed;Word;Train;91
392;Ing;Word;Train;87
393;hoc;Word;Train;100
394;chi;Word;Train;87
395;Beo;Word;Train;55
396;spe;Word;Train;84
397;sek;Word;Train;37
398;oho;Word;Train;64
399;Nut;Word;Train;96
400;Lug;Word;Train;22
401;Irr;Word;Test;4
402;Bog;Word;Test;5
403;Boe;Word;Test;15
404;Bes;Word;Train;98
405;bes;Word;Test;13
406;Ass;Word;Train;50
407;Wog;Word;Train;39
408;Wim;Word;Test;9
409;web;Word;Train;96
410;Rau;Word;Train;26
411;Ral;Word;Train;94
412;Nov;Word;Train;61
413;max;Word;Test;8
414;Lid;Word;Train;42
415;Iii;Word;Train;87
416;Hoc;Word;Test;12
417;Etc;Word;Train;21
418;Ems;Word;Train;64
419;Bai;Word;Test;14
420;Zus;Word;Train;32
421;zus;Word;Train;48
422;Uta;Word;Train;85
423;phi;Word;Train;22
424;Okt;Word;Test;16
425;lax;Word;Train;65
426;Kir;Word;Train;21
427;Jul;Word;Train;73
428;iii;Word;Test;5
429;Gnu;Word;Test;20
430;Fez;Word;Train;55
431;Esc;Word;Train;85
432;div;Word;Train;79
433;buk;Word;Test;6
434;Abk;Word;Train;57
435;mich;Word;Test;9
436;dass;Word;Train;33
437;eine;Word;Train;42
438;sind;Word;Train;72
439;dich;Word;Test;6
440;fuer;Word;Train;78
441;hier;Word;Train;32
442;habe;Word;Train;43
443;noch;Word;Test;11
444;sich;Word;Train;88
445;Nein;Word;Test;18
446;auch;Word;Train;21
447;hast;Word;Train;62
448;sein;Word;Test;1
449;kann;Word;Train;74
450;aber;Word;Train;97
451;Aber;Word;Test;2
452;wenn;Word;Train;72
453;wird;Word;Train;40
454;bist;Word;Train;72
455;doch;Word;Train;71
456;Wenn;Word;Train;69
457;nach;Word;Train;55
458;oder;Word;Train;32
459;dann;Word;Train;39
460;will;Word;Train;56
461;mein;Word;Test;4
462;mehr;Word;Test;12
463;muss;Word;Test;16
464;Mann;Word;Test;3
465;denn;Word;Train;55
466;sehr;Word;Test;4
467;geht;Word;Train;97
468;alle;Word;Test;15
469;euch;Word;Train;40
470;Also;Word;Test;5
471;Zeit;Word;Train;98
472;gibt;Word;Train;38
473;soll;Word;Train;45
474;Hier;Word;Train;45
475;viel;Word;Train;85
476;Dann;Word;Train;78
477;kein;Word;Test;3
478;Komm;Word;Train;61
479;Frau;Word;Train;83
480;Gott;Word;Train;67
481;dein;Word;Train;44
482;ganz;Word;Train;93
483;Mein;Word;Train;70
484;also;Word;Test;12
485;Hast;Word;Train;85
486;weil;Word;Train;100
487;Okay;Word;Train;39
488;Eine;Word;Train;79
489;Geld;Word;Test;11
490;nein;Word;Train;29
491;zwei;Word;Train;67
492;wohl;Word;Train;39
493;ihre;Word;Test;10
